Spacecraft/Body,Carrington longitude (°),Carrington latitude (°),Heliocentric distance (AU),Longitudinal separation to Earth's longitude,Latitudinal separation to Earth's latitude,Vsw,Magnetic footpoint longitude (Carrington)
STEREO A,81.64853872412894,6.861925034874792,0.9566501517898588,-19.490378199259936,-0.38514971327082215,544,125.14628043815671
Earth,101.13891692338888,7.247074748145614,1.0079988226629377,0.0,0.0,592,143.21703299017148
BepiColombo,1.9670479841670525,-3.3100440823162987,0.6293226499634046,-99.17186893922182,-10.557118830461913,400,41.08355297888295
Parker Solar Probe,284.4137940678306,-3.859797066849648,0.06372887281719619,-176.72512285555825,-11.106871814995262,400,288.11013951408364
Solar Orbiter,250.82562176139578,-3.565387678259878,0.6942987113714305,149.6867048380069,-10.812462426405492,741,274.1287988739628
